road_site_id,n_days,avg_daily_traffic,median_daily_traffic,std_daily_traffic,rain_mean_mm,road_name,lane,x_utm32,y_utm32,lon,lat,station_id,station_distance_km
101 1018128-0 3/ 215 -||Vejlands Alle´||724365||6171942,1043,7724.992329817833,5971.0,3580.8152981628673,1.727229146692234,Vejlands Alle´,,724365,6171942,12.565354165258793,55.64145924073255,5735,5.182637667303891
101 1018128-0 3/ 215 T||Vejlands Alle´||724365||6171942,1043,21277.877277085332,20866.0,4720.615442273453,1.727229146692234,Vejlands Alle´,,724365,6171942,12.565354165258793,55.64145924073255,5735,5.182637667303891
101 1018308-0 1/ 516 +||Vigerslev Allé||721273||6174037,948,9815.585443037975,10182.0,1385.7085051805013,1.9436708860759493,Vigerslev Allé,,721273,6174037,12.518010357423124,55.66166480230542,5735,4.567086565856238
101 1018308-0 1/ 516 -||Vigerslev Allé||721273||6174037,948,10323.62447257384,11266.5,2152.265843267835,1.9436708860759493,Vigerslev Allé,,721273,6174037,12.518010357423124,55.66166480230542,5735,4.567086565856238
101 1018308-0 1/ 516 T||Vigerslev Allé||721273||6174037,948,20136.59388185654,21349.0,3135.587437345379,1.9436708860759493,Vigerslev Allé,,721273,6174037,12.518010357423124,55.66166480230542,5735,4.567086565856238
101 1018404-0 0/ 349 +||Wittenberggade||727197||6174356,883,2557.1007927519818,2617.0,439.61264132165473,1.7584371460928654,Wittenberggade,,727197,6174356,12.6122524366744,55.66179247009972,5735,3.749116421000878
101 1018404-0 0/ 349 -||Wittenberggade||727197||6174356,883,2253.908267270668,2329.0,322.47973018907993,1.7584371460928654,Wittenberggade,,727197,6174356,12.6122524366744,55.66179247009972,5735,3.749116421000878
101 1018404-0 0/ 349 T||Wittenberggade||727197||6174356,883,4811.00906002265,4973.0,745.1281874891323,1.7584371460928654,Wittenberggade,,727197,6174356,12.6122524366744,55.66179247009972,5735,3.749116421000878
101 1018541-0 3/ 638 +||Ørestads Boulevard||725458||6171542,1171,4022.0563620836892,4116.0,693.1889459370504,1.6607173356105893,Ørestads Boulevard,,725458,6171542,12.582357128503634,55.6373666716172,6180,4.739752924375744
101 1018541-0 3/ 638 -||Ørestads Boulevard||725458||6171542,1171,4441.707941929974,4562.0,835.1026448585195,1.6607173356105893,Ørestads Boulevard,,725458,6171542,12.582357128503634,55.6373666716172,6180,4.739752924375744
101 1018541-0 3/ 638 T||Ørestads Boulevard||725458||6171542,1171,8463.421861656703,8697.0,1514.306560885929,1.6607173356105893,Ørestads Boulevard,,725458,6171542,12.582357128503634,55.6373666716172,6180,4.739752924375744
101 1018636-0 0/ 180 +||Åboulevard||723530||6176573,56,20269.714285714286,21585.5,3059.3709794025285,1.4214285714285713,Åboulevard,,723530,6176573,12.55588192104472,55.68337519542479,5735,1.2492289875345932
101 1018636-0 0/ 180 -||Åboulevard||723530||6176573,56,20119.589285714286,21500.0,2926.7863901728974,1.4214285714285713,Åboulevard,,723530,6176573,12.55588192104472,55.68337519542479,5735,1.2492289875345932
101 1018636-0 0/ 180 T||Åboulevard||723530||6176573,56,40389.30357142857,43016.5,5963.487316905778,1.4214285714285713,Åboulevard,,723530,6176573,12.55588192104472,55.68337519542479,5735,1.2492289875345932
