date,traffic_total,traffic_mean_site,traffic_median_site,rain_mean_mm,rain_median_mm,rain_max_mm,gasoline_price_mean,real_gasoline_price_mean,diesel_price_mean,real_diesel_price_mean,traffic_total_index100,traffic_mean_site_index100,gasoline_price_mean_index100,real_gasoline_price_mean_index100,diesel_price_mean_index100,real_diesel_price_mean_index100,traffic_total_ma7,traffic_total_ma30,traffic_mean_site_ma7,traffic_mean_site_ma30,gasoline_price_mean_ma7,gasoline_price_mean_ma30,real_gasoline_price_mean_ma7,real_gasoline_price_mean_ma30,rain_mean_mm_ma7,rain_mean_mm_ma30
2011-01-27,708918.0,12222.724137931034,9857.5,0.0,0.0,0.0,11.52,14.828163212768697,10.31,13.270691208649762,188.85141614986253,185.59535725072698,98.96907216494844,98.96907216494844,99.61352657004832,99.61352657004831,659612.7142857143,652217.4230769231,11108.494417077176,11120.103325215485,11.698571428571428,11.761153846153844,15.058014453045988,15.138568472330862,0.4028571428571429,1.874775078722447
2011-01-28,702082.0,12104.862068965518,9601.0,0.0,0.0,0.0,11.52,14.828163212768697,10.34,13.309306217016347,187.03034759073375,183.80568642537628,98.96907216494844,98.96907216494844,99.90338164251207,99.90338164251207,650898.4285714285,654064.2592592592,11020.898522167487,11156.575871280302,11.662857142857144,11.752222222222223,15.01204420499053,15.127071981235966,0.4028571428571429,1.8053389646956899
2011-01-29,512864.0,8842.48275862069,7615.0,0.0,0.0,0.0,11.58,14.90539322950187,10.34,13.309306217016347,136.62383053086972,134.26824724585472,99.48453608247422,99.48453608247424,99.90338164251207,99.90338164251207,647128.4285714285,649021.3928571428,11000.172249589492,11073.929688685315,11.638571428571428,11.746071428571428,14.980784436312819,15.119154882959748,0.4028571428571429,1.7408625730994152
2011-01-30,455187.0,7848.051724137931,6566.5,0.0,0.0,0.0,11.58,14.90539322950187,10.34,13.309306217016347,121.25903075250943,119.16835780850066,99.48453608247422,99.48453608247424,99.90338164251207,99.90338164251207,645315.7142857143,642337.448275862,11007.332019704434,10962.692517494026,11.614285714285714,11.740344827586206,14.949524667635107,15.111783791461201,0.3614285714285715,1.6808328291994354
2011-01-31,689050.0,11880.172413793103,9348.5,0.2689655172413793,0.3,0.3,11.61,14.94400823786845,10.36,13.335049555927402,183.55870255525008,180.39389733878025,99.7422680412371,99.7422680412371,100.09661835748791,100.09661835748791,642209.4285714285,643894.5333333333,11012.132840722496,10993.275180703995,11.60142857142857,11.735999999999999,14.932975378335142,15.10619127300811,0.11556650246305418,1.6337705854675
2011-02-01,699122.0,12053.827586206897,9674.0,0.4482758620689655,0.5,0.5,11.68,14.850603941513029,10.43,13.26128417037508,186.24182170790445,183.03075581638885,100.34364261168385,99.11885053403326,100.77294685990339,99.54291470497004,636912.2857142857,654685.8,10981.246305418721,11175.546626560015,11.595714285714285,11.737333333333334,14.899404998282822,15.101790629517376,0.10246305418719212,1.6287131142031324
2011-02-02,711266.0,12263.206896551725,9635.0,1.006896551724138,1.1,1.1,11.739999999999998,14.926891290527651,10.510000000000002,13.363000635727907,189.4769089785393,186.21006572028864,100.8591065292096,99.62802271143411,101.54589371980678,100.30642699417402,639784.1428571428,659089.2,11030.761083743842,11245.627792117586,11.604285714285714,11.741999999999999,14.884088050635752,15.101649120254534,0.2463054187192118,1.6456096659272703
2011-02-03,752334.0,12971.275862068966,9942.0,11.748275862068965,12.1,12.1,11.71,14.888747616020344,10.55,13.413858868404324,200.41717281503742,196.96170431822642,100.60137457044674,99.3734366227337,101.93236714975846,100.68818313877603,645986.4285714285,660862.7333333333,11137.697044334975,11289.599209742108,11.63142857142857,11.745,14.892742965385988,15.099378043877746,1.924630541871921,2.0205521946629026
2011-02-04,748478.0,12904.793103448275,9985.0,1.6689655172413793,1.7,1.7,11.68,14.850603941513029,10.61,13.490146217418943,199.3899580163246,195.9522001194914,100.34364261168385,99.11885053403326,102.512077294686,101.260817355679,652614.4285714285,661442.8,11251.97290640394,11313.605646523716,11.654285714285715,11.747666666666667,14.895948783778035,15.096693622981084,2.163054187192118,1.7708510452376152
2011-02-05,540353.0,9316.431034482759,7989.5,7.758620689655173,7.8,7.8,11.68,14.850603941513029,10.65,13.54100445009536,143.94673187988835,141.46489167506266,100.34364261168385,99.11885053403326,102.89855072463769,101.642573500281,656541.4285714285,657105.5666666667,11319.679802955665,11251.670014339808,11.668571428571427,11.750333333333334,14.888121742636772,15.09400920208442,3.2714285714285714,1.982805068226121
