week_start,traffic_total,traffic_mean_site,traffic_median_site,rain_mean_mm,rain_median_mm,rain_max_mm,gasoline_price_mean,real_gasoline_price_mean,diesel_price_mean,real_diesel_price_mean,traffic_total_index100,traffic_mean_site_index100,gasoline_price_mean_index100,real_gasoline_price_mean_index100,diesel_price_mean_index100,real_diesel_price_mean_index100,traffic_total_ma7,traffic_total_ma30,traffic_mean_site_ma7,traffic_mean_site_ma30,gasoline_price_mean_ma7,gasoline_price_mean_ma30,real_gasoline_price_mean_ma7,real_gasoline_price_mean_ma30,rain_mean_mm_ma7,rain_mean_mm_ma30
2013-02-19,545398.1428571428,11022.892049677013,8573.642857142857,0.2737609329446064,0.3,0.3,13.342857142857143,16.307574117400566,11.812857142857142,14.437615672032686,145.290727057398,167.3765655519654,114.62935689739813,108.84325027326888,114.13388543823326,108.37278855654293,549128.2244897959,559910.7285714286,10902.462296142947,11010.198251919817,13.329591836734693,13.15504761904762,16.29136132575739,16.129888096763903,0.7677462821863427,1.5170959812496427
2013-02-26,525902.0,10956.291666666668,8306.785714285714,0.003571428571428572,0.0,0.028571428571428574,13.214285714285714,16.130259590824426,11.697142857142856,14.278314682437951,140.0970739296294,166.3652752914349,113.5247913598429,107.65978244082041,113.01587301587301,107.17703069358497,525932.9387755102,550565.4523809523,10883.240377783766,10960.151165466186,13.28734693877551,13.22652380952381,16.232517834983348,16.17302522502462,0.1572001249479373,0.9663810524209684
2013-03-05,534028.2857142857,11125.589285714286,8569.92857142857,0.012499999999999999,0.0,0.09999999999999999,13.012857142857143,15.869337979094079,11.597142857142858,14.142857142857142,142.2618667056363,168.9359667129431,111.79430535100639,105.91828759414251,112.04968944099379,106.16024844720496,533738.8979591837,538564.4333333333,11119.56037414966,10877.458483393359,13.081428571428573,13.220761904761904,15.95514027015317,16.148986458192272,0.008418367346937508,0.4751800720288116
2013-03-12,550338.0,10982.090382819793,8372.42857142857,0.5978711484593837,0.6571428571428571,0.7857142857142857,12.944285714285714,15.785714285714286,11.562857142857142,14.101045296167246,146.60667476504062,166.75701463587373,111.20520373097692,105.36014972999509,111.7184265010352,105.84639701055396,547880.9795918368,538821.6714285715,11037.652517673736,10951.30961706905,12.962040816326532,13.172285714285715,15.807366849178695,16.081624829552762,0.4124659863945565,0.3865761971455249
2013-03-19,488632.28571428574,10750.300396825396,8637.142857142857,0.699047619047619,0.7999999999999999,0.8142857142857142,13.148571428571428,16.034843205574912,11.508571428571429,14.034843205574914,130.16865015937967,163.23741092296092,112.96023564064801,107.0229354502676,111.19392684610077,105.34946556918986,505160.1224489796,529488.0952380953,10796.902831132453,10963.482931299503,13.061224489795919,13.114238095238095,15.928322548531607,16.00250295896122,0.8731092436974777,0.3587673593246823
2013-03-26,564294.0,11756.125,9292.0,0.0,0.0,0.0,13.15,16.036585365853657,11.479999999999999,14.000000000000002,150.3244677450291,178.51030544722204,112.97250859106529,107.03456332243732,110.91787439613525,105.08792270531401,499819.4285714286,527213.3333333334,10886.940476190475,11003.952293028322,13.152857142857142,13.092,16.04006968641115,15.97061395925619,0.12571428571428445,0.30636437908496733
2013-04-02,556790.2857142857,11599.797619047618,9395.42857142857,0.38392857142857145,0.38571428571428573,0.39999999999999997,13.167142857142858,16.08691857928266,11.578571428571427,14.146086045902786,148.325524187042,176.13655997211237,113.11978399607266,107.37050725296133,111.87025534851621,106.18448549818235,541032.1224489796,530680.2095238095,11394.76060090703,11076.17888032991,13.204489795918366,13.084380952380952,16.119932204894713,15.961522079551429,0.1523129251700673,0.341781045751634
2013-04-09,556864.0,11601.333333333332,9235.42857142857,1.6517857142857142,1.6428571428571428,1.9857142857142855,12.807142857142859,15.647089623876429,11.305714285714286,13.812723623352824,148.34516122157578,176.15987895062125,110.02700049091801,104.43491347757387,109.23395445134575,103.68217374862617,563813.6326530612,537968.5238095238,11746.117346938774,11228.01876128229,12.947755102040816,13.04647619047619,15.818882226073082,15.921031148875063,1.0693877551020396,0.5896381886087768
2013-04-16,520056.5714285714,10730.832282913165,8279.642857142857,0.5986344537815126,0.6142857142857142,0.6142857142857142,12.59,15.381795968234576,10.981428571428571,13.416528492887688,138.5398875361154,162.9417982988221,108.1615120274914,102.66423786702269,106.1007591442374,100.70822208815888,524206.85714285716,532988.219047619,10906.164815926371,11192.555000778088,12.65857142857143,12.973380952380953,15.465572912121477,15.838491773782385,1.2505702280912352,0.8047082166199814
2013-04-23,545026.4,10686.792156862746,8342.8,0.6835294117647058,0.7,0.72,12.748,15.57483200977398,11.07,13.524740378741603,145.1916970355689,162.27307315740057,109.5189003436426,103.95263735733162,106.95652173913045,101.52049082361691,528293.0285714285,535800.92,10608.538515406162,11155.391449891067,12.648285714285715,12.902199999999999,15.453006370538441,15.757343594022378,0.5859453781512591,0.7419650326797386
