year_month,traffic_total,traffic_mean_site,rain_mean_mm,rain_total_mm,gasoline_price,real_gasoline_price,diesel_price,real_diesel_price
2013-08,19504479.0,11665.358253588516,1.5494019138755981,2590.6,13.057206937799045,15.985806730899903,11.463247607655502,14.03433840310419
2013-09,19233214.0,11894.380952380952,2.2666666666666666,3665.2,12.865330859616575,15.700916352961402,11.632597402597403,14.196482063213818
2013-10,18361858.0,11341.481161210624,2.9450277949351453,4768.0,12.532649783817172,15.279992421137736,11.394502779493514,13.892346719694606
2013-11,17711308.0,11485.932555123216,2.0250324254215304,3122.6,12.490239948119326,15.2580502664541,11.325622568093385,13.835356178956005
2013-12,12352008.0,11696.977272727272,1.490340909090909,1573.8,12.492926136363637,15.274393124298369,11.395000000000001,13.932021029465703
2014-01,15484436.0,10790.547735191638,2.225087108013937,3193.0,12.541512195121951,15.35820743953215,11.286829268292683,13.821735572241836
2014-02,12063425.0,10258.014455782313,1.4818877551020408,1742.7,12.646785714285713,15.381641588768808,11.338214285714285,13.790092782430415
2014-03,12957291.0,10122.88359375,0.8487500000000001,1086.4,12.654578125,15.374290031587899,11.208078125,13.616909397400073
2014-04,9674905.0,10078.026041666666,0.7261458333333334,697.1,12.827083333333333,15.566848705501616,11.192499999999999,13.583131067961164
2014-05,10571880.0,9779.722479185939,2.091581868640148,2261.0,12.831054579093433,15.575448627207372,11.160712303422756,13.547842077473607
2014-06,8896107.0,10368.423076923076,1.946037296037296,1669.7,13.09527972027972,15.90584200204023,11.293356643356644,13.717182853585138
2014-07,10647357.0,8586.578225806452,1.1400000000000001,1413.6000000000001,12.996129032258064,15.808452782213921,11.210322580645162,13.636203114761173
2014-08,10629875.0,9915.928171641792,6.416977611940299,6879.0,12.738899253731343,15.51632065009908,11.187276119402986,13.626402094278909
2014-09,10360073.0,10156.934313725491,2.2508823529411766,2295.9,12.716666666666667,15.44409359566027,11.089666666666668,13.468140231560197
2014-10,10677531.0,10130.484819734345,4.375996204933586,4612.3,12.269354838709678,14.888186917497485,10.781935483870967,13.083285382685316
2014-11,8531941.0,8915.298850574713,1.553814002089864,1487.0,11.961024033437827,14.545815436504714,10.61594566353187,12.910064044183232
2014-12,7452225.0,8585.512672811059,3.255529953917051,2825.8,11.040714285714285,13.452801615345786,9.862142857142857,12.016745287124232
